,Price,Age,KM,fueltyp,HP,MetColor,Doors,Weight
0,13500,23,46986,Diesel ,90,1,4,13500
1,13750,23,72937,Diesel ,90,1,4,13750
2,13950,24,41711,Diesel ,90,,4,13950
3,14950,26,48000,Diesel ,90,0,4,14950
4,13750,30,38500,Diesel ,90,0,4,13750
5,12950,32,61000,Diesel ,90,0,4,12950
6,16900,27,,Diesel,90,0,4,16900
7,18600,30,75889,Diesel,90,1,4,18600
8,21500,27,19700,Petrol ,192,0,2,21500
9,12950,23,71138,Diesel ,90,0,2,12950
10,20950,25,31461, Petrol,192,0,2,20950
11,19950,22,43610, Petrol,192,0,2,19950
12,19600,25,32189, Petrol,192,0,4,19600
13,21500,31,23000, Petrol,192,1,4,21500
14,22500,32,34131, Petrol,192,1,2,22500
15,22000,28,18739, Petrol,,0,3,22000
16,21500,27,19700, Petrol,192,0,2,21500
17,17950,24,21716, Petrol,110,1,4,17950
18,,,,,,,,
19,16950,30,64359, Petrol,110,1,4,16950
20,15950,30,67660,Petrol ,110,1,4,15950
